,nr_images,micro,hover,ensemble
0,0,0.0,0.0,0.0
1,100,0.8485594938801161,0.8352315679096027,0.8485999047436237
2,100,0.7853929650297432,0.8266614359009379,0.8303783143069247
3,100,0.8005847449512756,0.8092971635865694,0.8184711506805185
4,100,0.8485454156716801,0.8178116472420223,0.8350124040297696
5,100,0.8661097039925625,0.8016913399447033,0.827003641267099
6,100,0.8238230766940201,0.7781962308024688,0.7932915201467557
7,100,0.8477128365095832,0.8112833756378849,0.829197408097386
8,99,0.8535858733465952,0.8388575275007528,0.8536232076593195
9,100,0.781752937019998,0.7661010253119768,0.7811863550188478
10,100,0.7488622961743236,0.7555241847993507,0.766517093861585
11,100,0.8544622360876778,0.8529500785516138,0.8643350341142361
12,100,0.8600313363738783,0.8616833155552652,0.8681284224268908
13,100,0.8405545479413121,0.8363045044323094,0.8466208073386947
14,100,0.7906730133696627,0.7882892648479158,0.8002971193487988
15,100,0.8943892996604402,0.8857959161710539,0.8957315811160999
16,98,0.8579741530813597,0.8605932840479844,0.8695990546230565
17,100,0.8403857913208186,0.8449146752298754,0.853392354784817
18,99,0.7727992218122103,0.7700301226800469,0.7779188114587491
19,86,0.8226568295754343,0.7869452808057731,0.8132088859234041
20,100,0.8188733925516279,0.8327170304033147,0.840931713248256
21,99,0.8554801686788714,0.8383318153361772,0.8471524865137562
22,100,0.852616676885797,0.8529120966581366,0.8632918763021663
23,100,0.8431144967665485,0.8561040705226651,0.8611918801755489
24,100,0.7969751995980277,0.7892327698025472,0.8008452453574706
25,100,0.8162632550759883,0.8094929907548426,0.8201453844458612
26,100,0.777445085419667,0.7914738245434866,0.7976679909984935
27,100,0.78681923628037,0.7771515516857531,0.798127435312917
28,22,0.7906133238615017,0.771217131934173,0.7885952539563803
