,nr_images,micro,hover,ensemble
0,0,0.0,0.0,0.0
1,100,0.8485594938801161,0.8352315679096027,0.8530700591737727
2,100,0.7853929650297432,0.8266614359009379,0.7974049581948938
3,100,0.8005847449512756,0.8092971635865694,0.8083471046330892
4,100,0.8485454156716801,0.8178116472420223,0.8513857284308449
5,100,0.8661097039925625,0.8016913399447033,0.8657447264014722
6,100,0.8238230766940201,0.7781962308024688,0.8240611523626569
7,100,0.8477128365095832,0.8112833756378849,0.8487101962844129
8,99,0.8535858733465952,0.8388575275007528,0.8567285355441387
9,100,0.781752937019998,0.7661010253119768,0.7861316157369599
10,100,0.7488622961743236,0.7555241847993507,0.7539152714084593
11,100,0.8544622360876778,0.8529500785516138,0.8581154117738955
12,100,0.8600313363738783,0.8616833155552652,0.8627842365408538
13,100,0.8405545479413121,0.8363045044323094,0.8429299819618616
14,100,0.7906730133696627,0.7882892648479158,0.7942582422095309
15,100,0.8943892996604402,0.8857959161710539,0.8963272981748689
16,98,0.8579741530813597,0.8605932840479844,0.8623542781186723
17,100,0.8403857913208186,0.8449146752298754,0.8445771497714122
18,99,0.7727992218122103,0.7700301226800469,0.7776711039508132
19,86,0.8226568295754343,0.7869452808057731,0.8254845743350828
20,100,0.8188733925516279,0.8327170304033147,0.8246319748266716
21,99,0.8554801686788714,0.8383318153361772,0.8570803567173452
22,100,0.852616676885797,0.8529120966581366,0.8562449645149216
23,100,0.8431144967665485,0.8561040705226651,0.8479287920310327
24,100,0.7969751995980277,0.7892327698025472,0.8013535989278076
25,100,0.8162632550759883,0.8094929907548426,0.8188665776882998
26,100,0.777445085419667,0.7914738245434866,0.7819363058918152
27,100,0.78681923628037,0.7771515516857531,0.7914723554078212
28,22,0.7906133238615017,0.771217131934173,0.7936908211238186
